"Category","Core Biology","Pathway name (standardized)","Key molecular nodes","Plant","target_included","extract_type","cell_lines","parameter","effect_on_target","source_id","abstract"
"","","","","Bifidobacterium breve","AMPK; TNF-α","fermented","C57BL/6J mice","400 mg/kg","inhibited TNF-α gene expression more significantly (p < 0.01) and enhanced hepatic AMPK phosphorylation","31973042","Puerariae Radix (PR), the dried root of Pueraria lobata, is reported to possess therapeutic efficacies against various diseases including obesity, diabetes, and hypertension. Fermentation-driven bioactivation of herbal medicines can result in improved therapeutic potencies and efficacies. C57BL/6J mice were fed a high-fat diet and fructose in water with PR (400 mg/kg) or PR fermented by Bifidobacterium breve (400 mg/kg) for 10 weeks. Histological staining, qPCR, Western blot, and 16s rRNA sequencing were used to determine the protective effects of PR and fermented PR (fPR) against metabolic dysfunction. Treatment with both PR and fPR for 10 weeks resulted in a reduction in body weight gain with a more significant reduction in the latter group. Lactate, important for energy metabolism and homeostasis, was increased during fermentation. Both PR and fPR caused significant down-regulation of the intestinal expression of the MCP-1, IL-6, and TNF-α genes. However, for the IL-6 and TNF-α gene expressions, the inhibitory effect of fPR was more pronounced (p  0.01) than that of PR (p  0.05). Oral glucose tolerance test results showed that both PR and fPR treatments improved glucose homeostasis. In addition, there was a significant reduction in the expression of hepatic gene PPARγ, a key regulator of lipid and glucose metabolism, following fPR but not PR treatment. Activation of hepatic AMPK phosphorylation was significantly enhanced by both PR and fPR treatment. In addition, both PR and fPR reduced adipocyte size in highly significant manners (p  0.001). Treatment by fPR but not PR significantly reduced the expression of PPARγ and low-density lipoproteins in adipose tissue. Treatment with fPR appears to be more potent than that of PR in improving the pathways related to glucose and lipid metabolism in high-fat diet (HFD)+fructose-fed animals. The results revealed that the process of fermentation of PR enhanced lactate and facilitated the enrichment of certain microbial communities that contribute to anti-obesity and anti-inflammatory activities."
"","","","","Black pepper","AMPK","black pepper extract","T84, mice","","did not involve AMPK","26297981; 27812336; 29203239; 29683271; 35628429","Piperine is the principal alkaloid in black peppers (Piper nigrum L.), which is a commonly included spice in anti-diarrheal formulations. Piperine has antispasmodic activities, but its anti-secretory effect is not known. Therefore, this study investigated the anti-secretory effect of piperine and its underlying mechanism. Piperine inhibited cAMP-mediated Cl- secretion in human intestinal epithelial (T84) cells, similar to black pepper extract. Intraluminal administration of piperine (2 μg/loop) suppressed cholera toxin-induced intestinal fluid accumulation by ∼85% in mice. The anti-secretory mechanism of piperine was investigated by evaluating its effects on the activity of transport proteins involved in cAMP-mediated Cl- secretion. Notably, piperine inhibited CFTR Cl- channel activity (IC50#8'6#10 μM) without affecting intracellular cAMP levels. The mechanisms of piperine-induced CFTR inhibition did not involve MRP4-mediated cAMP efflux, AMPK or TRPV1. Piperine also inhibited cAMP-activated basolateral K+ channels, but it had no effect on Na+-K+-Cl- cotransporters or Na+-K+ ATPases. Piperine suppressed Ca2+-activated Cl- channels (CaCC) without affecting intracellular Ca2+ concentrations or Ca2+-activated basolateral K+ channels. Collectively, this study indicates that the anti-secretory effect of piperine involves the inhibition of CFTR, CaCC and cAMP-activated basolateral K+ channels. Piperine represents a novel class of drug candidates for the treatment of diarrheal diseases caused by the intestinal hypersecretion of Cl-."
"","","","","Camellia sinensis","AMPK; TNF-α","","HepG2","500, 1000, 2000 ppm","increased AMPK protein expression; inhibited TNF-α induced activation of p38, JNK1/2, iNOS, and COX-2","31061619","The aim of this study is to discuss the non-catechin flavonoids (NCF) from Camellia sinensis (L.) O. Kuntze seed improving TNF-α impaired insulin stimulated glucose uptake and insulin signaling. Flavonoids had anti-metabolic syndrome and anti-inflammatory properties. It had widely been known for biological activity of catechins in tea, but very few research reports discussed the biological activity of non-catechin flavonoids in tea seed. We used HepG2 cell to treat with 5 μM insulin or with 5 μM insulin + 30 ng/ml TNF-α. Detecting the glucose concentration of medium, insulin decreased the glucose levels of medium meant that insulin promoted glucose uptake into cells, but TNF-α inhibited the glucose uptake effect of insulin. Furthermore, insulin increased the protein expressions of IR, IRS-1, IRS-2, PI3K-α, Akt/PKB, GLUT-2, AMPK, GCK, pyruvate kinase, and PPAR-γ. TNF-α activated p65 and MAPKs (p38, JNK1/2 and ERK1/2), iNOS and COX-2 which worsened the insulin signaling expressions of IR, IRS-1, IRS-2, PI3K-α, Akt/PKB, GLUT-2, AMPK, GCK, pyruvate kinase, and PPAR-γ. We added NCF (500, 1000, 2000 ppm) to cell with insulin and TNF-α. Not only glucose levels of medium were lowered, and the protein expressions of insulin signaling were increased, but p38, JNK1/2, iNOS and COX-2 were also reduced. NCF could ameliorate TNF-α induced insulin resistance through inhibiting p38, JNK1/2, iNOS and COX-2, and suggested that it might be used in the future to help control insulin resistance. This finding is the first report to present the discovery."
"","","","","Canavalia gladiata","AMPK; SREBP-1c","","3T3-L1","1.0 mg/mL","increased AMPK mRNA expression by 1.9 times and decreased SREBP-1c mRNA expression by 1.1 times","36768430","The aim of this study was to investigate the effect of Canavalia gladiata extract (CGE) on the regulation of AMP-activated protein kinase (AMPK) in 3T3-L1 preadipocytes and evaluate the adipogenesis and lipogenesis mechanisms. In 3T3-L1 preadipocytes, lipid accumulation and differentiation were suppressed by 1.1, 1.3, and 1.4 times under the CGE treatment at 0.25, 0.5, and 1.0 mg/mL, respectively. The expression of the main genes involved in the inhibition of adipogenesis was evaluated at the mRNA level via a transcription-polymerase chain reaction. The extract at 1.0 mg/mL increased the mRNA expressions of AMPK and carnitine palmitoyl transferase-1 (CPT-1) by 1.9 and 1.2 times, respectively, while it decreased the expression of sterol regulatory element binding proteins-1c (SREBP-1c), peroxisome proliferator activated receptor-γ (PPAR-γ), CCAAT enhancer binding protein-α (C/EBP-α), and fatty acid synthase (FAS) by 1.1, 1.2, 1.8, and 1.5 times, respectively, indicating inhibition of the adipogenesis and lipogenesis potential of CGE. Gallic acid (4.02 mg/g) was identified as the main component of the CGE via LC-MS/MS and HPLC analysis. The results of this study suggested that CGE can be utilized as an anti-obesity food additive or medication by activating the AMPK-induced regulation and suppressing adipogenesis transcription factors."
"","","","","Cannabis sativa","AMPK","hexane","HepG2, HuH-7","IC50 = 59 μM (HMGCoAR), 25 µM (LDLR)","stimulated AMPK","21475304; 30148860; 31616830; 32956517; 33686185; 35565772; 36364815; 38401641","Hempseed (Cannabis sativa) protein is an important source of bioactive peptides. H3 (IGFLIIWV), a transepithelial transported intestinal peptide obtained from the hydrolysis of hempseed protein with pepsin, carries out antioxidant and anti-inflammatory activities in HepG2 cells. In this study, the main aim was to assess its hypocholesterolemic effects at a cellular level and the mechanisms behind this health-promoting activity. The results showed that peptide H3 inhibited the 3-hydroxy-3-methylglutaryl co-enzyme A reductase (HMGCoAR) activity in vitro in a dose-dependent manner with an IC50 value of 59 μM. Furthermore, the activation of the sterol regulatory element binding proteins (SREBP)-2 transcription factor, followed by the increase of low-density lipoprotein (LDL) receptor (LDLR) protein levels, was observed in human hepatic HepG2 cells treated with peptide H3 at 25 µM. Meanwhile, peptide H3 regulated the intracellular HMGCoAR activity through the increase of its phosphorylation by the activation of AMP-activated protein kinase (AMPK)-pathways. Consequently, the augmentation of the LDLR localized on the cellular membranes led to the improved ability of HepG2 cells to uptake extracellular LDL with a positive effect on cholesterol levels. Unlike the complete hempseed hydrolysate (HP), peptide H3 can reduce the proprotein convertase subtilisin/kexin 9 (PCSK9) protein levels and its secretion in the extracellular environment via the decrease of hepatic nuclear factor 1-α (HNF1-α). Considering all these evidences, H3 may represent a new bioactive peptide to be used for the development of dietary supplements and/or peptidomimetics for cardiovascular disease (CVD) prevention."
"Cardiovascular & Vascular Aging","Hepatic cholesterol sensing","SREBP2–LDLR cholesterol homeostasis pathway","SREBF2 ↑ · LDLR ↑ · SCAP ↑","Cannabis sativa","LDLR; PCSK9; ABCA1; ABCG1","peptide","MCF-7, A549, Raw 264.7, HepG2","IC50 = 59 μM (HMGCoAR), 25 µM (LDLR)","increased protein expression of LDLR, ABCA1, and ABCG1 in HepG2 cells; enhanced ABCG1 and SR-B1 expression in Raw 264.7 macrophages (compared to fenofibrate at 1.0 mg L-1)","30500001; 35565772","Hempseed (Cannabis sativa) protein is an important source of bioactive peptides. H3 (IGFLIIWV), a transepithelial transported intestinal peptide obtained from the hydrolysis of hempseed protein with pepsin, carries out antioxidant and anti-inflammatory activities in HepG2 cells. In this study, the main aim was to assess its hypocholesterolemic effects at a cellular level and the mechanisms behind this health-promoting activity. The results showed that peptide H3 inhibited the 3-hydroxy-3-methylglutaryl co-enzyme A reductase (HMGCoAR) activity in vitro in a dose-dependent manner with an IC50 value of 59 μM. Furthermore, the activation of the sterol regulatory element binding proteins (SREBP)-2 transcription factor, followed by the increase of low-density lipoprotein (LDL) receptor (LDLR) protein levels, was observed in human hepatic HepG2 cells treated with peptide H3 at 25 µM. Meanwhile, peptide H3 regulated the intracellular HMGCoAR activity through the increase of its phosphorylation by the activation of AMP-activated protein kinase (AMPK)-pathways. Consequently, the augmentation of the LDLR localized on the cellular membranes led to the improved ability of HepG2 cells to uptake extracellular LDL with a positive effect on cholesterol levels. Unlike the complete hempseed hydrolysate (HP), peptide H3 can reduce the proprotein convertase subtilisin/kexin 9 (PCSK9) protein levels and its secretion in the extracellular environment via the decrease of hepatic nuclear factor 1-α (HNF1-α). Considering all these evidences, H3 may represent a new bioactive peptide to be used for the development of dietary supplements and/or peptidomimetics for cardiovascular disease (CVD) prevention."
"","","","","Chinese olive","LDLR; ABCA1; GSH; TNF-α","ethyl acetate","rats","","increased hepatic GSH levels, increased expression of ABCA1 and LDLR genes and protein levels, and mildly suppressed hepatic TNF-α levels","29036927","Hyperglycemia and dysregulation of lipid metabolism play a crucial role in metabolic dysfunction. The aims of present study were to evaluate the ameliorative effect of the ethyl acetate fraction of Chinese olive fruit extract (CO-EtOAc) on high-fat diet (HFD) and streptozotocin (STZ)-induced diabetic rats. CO-EtOAc, rich in gallic acid and ellagic acid, could markedly decreased the body weight and epididymal adipose mass. In addition, CO-EtOAc increased serum HDL-C levels, hepatic GSH levels, and antioxidant enzyme activities; lowered blood glucose, serum levels of total cholesterol (TC), triglycerides (TG), bile acid, and tumor necrosis factor alpha (TNFα); and reduced TC and TG in liver. We further demonstrated that CO-EtOAc mildly suppressed hepatic levels of phosphorylated IRS-1, TNF-α, and IL-6, but enhanced Akt phosphorylation. The possible mechanisms of cholesterol metabolism were assessed by determining the expression of genes involved in cholesterol transportation, biosynthesis, and degradation. It was found that CO-EtOAc not only inhibited mRNA levels of SREBP-2, HMG-CoAR, SR-B1, and CYP7A1 but also increased the expression of genes, such as ABCA1 and LDLR that governed cholesterol efflux and cholesterol uptake. Moreover, the protein expressions of ABCA1 and LDLR were also significantly increased in the liver of rats supplemented with CO-EtOAc. We suggest that Chinese olive fruit may ameliorate metabolic dysfunction in diabetic rats under HFD challenge."
"","","","","Codonopsis","AMPK; LDLR; ACC; SREBP-1c","water","Sprague-Dawley rats","","reversed ethanol-induced up-regulation of LDLR and SREBP-1c genes; increased phospho-AMPK alpha/AMPK alpha ratio by 135% and phospho-ACC/ACC protein levels by 35%","20041784","Alcohol intake remains the most important cause of fatty liver throughout the world. The current study was undertaken to determine whether dietary supplementation with Codonopsis lanceolata root water extract attenuates the development of alcoholic fatty liver in rats and to elucidate the molecular mechanism for such an effect. Male Sprague-Dawley rats were fed normal diet (ND), ethanol diet (ED) (36% of total energy from ethanol), or 0.5% C. lanceolata root extract-supplemented ethanol diet (ED+C) for 8 weeks. C. lanceolata root water extract supplemented to rats with chronic alcohol consumption ameliorated the ethanol-induced accumulations of hepatic cholesterol and triglyceride. Chronic alcohol consumption up-regulated the hepatic expression of genes involved in inflammation, fatty acid synthesis, and cholesterol metabolism, including tumor necrosis factor alpha (TNFalpha), liver X receptor alpha (LXRalpha), sterol regulatory element-binding protein (SREBP)-1c, fatty acid synthase, acetyl-coenzyme A carboxylase alpha (ACC), stearoyl-coenzyme A desaturase 1, 3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMGR), and low-density lipoprotein receptor (LDLR). The ethanol-induced up-regulations of TNFalpha, LXRalpha, SREBP-1c, HMGR, and LDLR genes in the liver were reversed by feeding C. lanceolata root water extract for 8 weeks. Moreover, ethanol-induced decreases in the ratio of phospho-5'-AMP-activated protein kinase (AMPK) alpha/AMPKalpha and phospho-ACC/ACC protein levels in the liver were significantly restored (135% and 35% increases, respectively, P  .05) by supplementing them with C. lanceolata root water extract. In conclusion, C. lanceolata root water extract appears to be protective against alcoholic fatty liver through the regulation of SREBP-1c, LXRalpha, HMGR, and LDLR genes and by the phosphorylation of AMPKalpha and ACC, which are implicated in lipid metabolism."
"","","","","Conjugated linoleic acid","LDLR","","LDLR(-/-) apoB(100/100) mice","100 μM","had no effect on LDL receptor (LDLR)","16957181; 18078940; 17678565; 19700688; 23415539; 23964012; 27246092; 30951597; 32828501","Several long-chain fatty acids (LCFA) are natural ligands of nonruminant peroxisome proliferator-activated receptor-gamma (PPARG), which, along with its lipogenic target genes, is upregulated in bovine mammary tissue during lactation. Thus, PPARG might represent an important control point of bovine milk fat synthesis. We tested lipogenic gene network expression via quantitative PCR of 19 genes in bovine mammary epithelial cells cultured with 16:0, 18:0, cis-9 18:1, trans-10 18:1, trans-10,cis-12 18:2 [t10c12 conjugated linoleic acid (CLA)], 20:5, ethanol (control), and the PPARG agonist rosiglitazone (ROSI). Triplicate cultures were maintained for 12 h with 50 muM ROSI or 100 muM LCFA. Responses common to 16:0 and 18:0 relative to the control included significantly greater expression of INSIG1 (+298%, +92%), AGPAT6 (+137%, +169%), FABP3 (+755%, +338%), and FABP4 (+171%, 157%). These were coupled with greater intracellular lipid droplet formation and mRNA of ACSS2, LPIN1, SCD, and SREBF2 in response to 16:0, and greater DGAT1 and THRSP with 18:0. Trans-10 18:1 and t10c12 CLA reduced expression of FASN (-60%, -31%), SCD (-100%, -357%), and SREBF1 (-49%, -189%). Furthermore, t10c12 CLA downregulated ACSS2, FABP3, INSIG1, SREBF2, and THRSP expression. Expression of SREBF1 was lower with cis-9 18:1 (-140%) and 20:5 (-125%) compared with the control. This latter LCFA also decreased SCD, SREBF2, and LPL expression. No effects of LCFA or ROSI on PPARG were observed, but ROSI upregulated (+39% to +269%) expression of ACACA, FASN, LPIN1, AGPAT6, DGAT1, SREBF1, SREBF2, and INSIG1. Thus, these genes are putative PPARG target genes in bovine mammary cells. This is the first report showing a direct effect of trans-10 18:1 on bovine mammary cell lipogenic gene expression. The coordinated upregulation of lipogenic gene networks in response to ROSI and saturated LCFA offers support for PPARG activation in regulating bovine milk fat synthesis."
"","","","","EGCG","LDLR","","HepG2, HeLa","","increased LDLR expression dramatically","15158750; 32398139; 32334376","Green tea has been shown to lower plasma cholesterol, associated with up-regulation of the low-density lipoprotein receptor (LDLR) although the responsible molecular mechanism is unknown. Previously, we reported that ester bond-containing green tea polyphenols (GTPs), such as (-)-epigallocatechin-3-gallate [(-)-EGCG], potently inhibit the tumor cellular proteasome activity, which may contribute to the cancer-preventative effect of green tea. In the current study, we hypothesize that the proteasome is a heart disease-associated molecular target of GTPs. We have shown that ester bond-containing GTPs, including (-)-EGCG, potently inhibit the proteasomal activity in intact hepatocellular carcinoma HepG2 and cervical carcinoma HeLa cells, as evident by accumulation of ubiquitinated proteins and three natural proteasome targets (p27, IkappaB-alpha and Bax). (-)-EGCG selectively inhibits the chymotrypsin-like, but not trypsin-like, activity of the proteasome. Associated with proteasome inhibition by ester bond-containing GTPs, there was a significant, time- and concentration-dependent increase in levels of the cleaved, activated, but not the precursor, form of sterol regulatory element-binding protein 2 (SREBP-2), an essential factor for LDLR transcription. Subsequently, LDL receptor expression was increased dramatically in HepG2 and HeLa cells treated with (-)-EGCG. Our results suggest that ester bond-containing GTPs inhibit ubiquitin/proteasome-mediated degradation of the active SREBP-2, resulting in up-regulation of LDLR. This identified molecular mechanism may be related to the previously reported cholesterol-lowering and heart disease-preventative effects of green tea."
"","","","","Epigallocatechin gallate","LDLR; PCSK9","hawk tea extract","HepG2","","induced a reduction of extracellular PCSK9 protein level and up-regulation of LDLR (LDLR) in HepG2 cells. EGCG attenuates the statin-induced increase in PCSK9 level.","28181408; 31098406; 31978263","In animal studies, epigallocatechin gallate (EGCG), the dominant catechin in green tea, has been shown to improve cholesterol metabolism. However, the molecular mechanisms of EGCG underlying these functions have not been fully understood. In this study, we aimed to clarify the molecular mechanisms of the effect of EGCG on cholesterol metabolism mainly in HepG2 cells. We found that EGCG induced a reduction of the extracellular proprotein convertase subtilisin/kexin 9 (PCSK9) level accompanied by an up-regulation of the LDL receptor (LDLR) in HepG2 cells. The EGCG-induced up-regulation of LDLR occurred via the extracellular signal-regulated kinase (ERK) signaling pathway. Moreover, we showed that EGCG induced a significant early reduction of the extracellular PCSK9 protein level. However, there were no significant changes in the PCSK9 mRNA and the intracellular PCSK9 protein levels induced by EGCG. Annexin A2 knockdown affected the basal LDLR expression and did not affect the EGCG-induced reduction of the extracellular PCSK9 protein level or the up-regulation of LDLR. Annexin A2 possesses an essential function for the basal LDLR expression in HepG2 cells. But, EGCG induces the suppression of PCSK9 accompanied by an up-regulation of LDLR in an annexin A2-independent manner. EGCG attenuates the statin-induced an increase in PCSK9 level."
"","","","","Fermented soybean","LDLR","fermented soybean extract","male rats, intact female rats, OVX rats","","increased hepatic LDLR gene expression in intact female rats","16861787","We examined the effect of administering an isoflavone-rich fermented soybean extract (FSBE) on the serum cholesterol concentrations in male rats and in intact and ovariectomized (OVX) female rats. Dietary FSBE decreased the serum cholesterol concentrations in intact female and OVX rats, but did not affect the concentrations in male rats. Dietary FSBE increased the hepatic total and esterified cholesterol contents in the intact female rats, but decreased them in the OVX rats. This hypocholesterolemic effect was not a simple estrogenic effect because it has appeared in some reports that estrogen administration decreased serum cholesterol both male and female rats. Dietary FSBE increased the hepatic low-density lipoprotein receptor (LDLR) gene expression in the intact female rats as has previously been reported from many studies, but did not affect that of the OVX rats. Further investigation is needed into the hypocholesterolemic mechanism of FSBE."
"","","","","Gastrodia elata","LDLR; PCSK9; STAT3","","mice","","inhibited STAT3, decreased PCSK9 expression, and increased LDLR transcription","40279963","Hypercholesterolaemia is a prevalent etiological factor of cardiovascular diseases (CVDs). Gastrodin (Gas), the paramount active constituent in Gastrodia elata Bl., has lipid-lowering and anti-inflammatory properties for the treatment of CVDs. Nevertheless, the underlying mechanism responsible for hypolipidemic efficacy remains to be elucidated. The signalling pathwayof PCSK9/LDLR is a key signalling pathway that regulates cholesterol metabolism. This investigation elucidated whether Gas has an inhibitory effect on hypercholesterolaemia and whether this effect is associated with the regulation of the PCSK9/LDLR signalling pathway. We induced hypercholesterolaemia of mice by feeding them a high-fat diet (HFD) for 12 weeks to analyse the therapeutic effects and related pathways of Gas in vivo. In vitro, western blotting, qRT-PCR, molecular docking, and transfection were employed to verify the molecular mechanism of action of Gas in the treatment of hypercholesterolaemia. Gas exhibited potent therapeutic effects against hypercholesterolaemia in HFD mice. Moreover, the HFD-induced hepatic lipid accumulation and liver damage were attenuated by Gas. Mechanistically, Gas decreased the expression of PCSK9 via inhibiting the JAK2/STAT3 signalling pathway to suppress HNF-1α and promote FoxO3a. In addition, Gas increased LDLR transcription via SREBP2 activation. Collectively, our data provide new insights into the prevention and treatment of hyperlipidaemia by Gas."
"","","","","Ginger","LDLR; ABCA1","","HepG2","various concentrations ranging from 50 to 200 μM","up-regulated LDLR and ABCA1","29535632","Gingerols, the pungent ingredients in ginger, are reported to possess a cholesterol-lowering activity. However, the underlying mechanism remains unclear. The present study was to investigate how 6-gingerol (6-GN), the most abundant gingerol in fresh ginger, regulates hepatic cholesterol metabolism. HepG2 cells were incubated with various concentrations of 6-GN ranging from 50 to 200 μM for 24 h. Results showed that both cellular total cholesterol and free cholesterol decreased in a dose-dependent manner. Besides, 6-GN ranging from 100 to 200 μM increased the LDLR protein and uptake of fluorescent-labeled LDL. Moreover, the mRNA and protein expressions of cholesterol metabolism-related genes were also examined. It was found that 6-GN regulated cholesterol metabolism via up-regulation of LDLR through activation of SREBP2 as well as up-regulation of cholesterol efflux-related genes LXRα and ABCA1."
"","","","","Ginkgo biloba","SREBF2; LDLR; LRP1","Ginkgo biloba extract","hepatocytes","","increased SREBF2 expression","19701231","To explore the molecular mechanisms underlying the cholesterol-lowering effect of a Ginkgo biloba extract (GBE). Enzyme activity, cholesterol flux and changes in gene expression levels were assessed in cultured hepatocytes treated with GBE or lovastatin. GBE decreased the total cholesterol content in cultured hepatocytes and inhibited the activity of HMG-CoA reductase, as determined by an in vitro enzyme activity assay. In addition, GBE decreased cholesterol influx, whereas lovastatin increased cholesterol influx. GBE treatment induced significant increases in the expression of cholesterogenic genes and genes involved in cholesterol metabolism, such as SREBF2, as determined by cDNA microarray and real-time RT-PCR. Furthermore, INSIG2, LDLR, LRP1, and LRP10 were differentially regulated by GBE and lovastatin. The data imply that the two compounds modulate cholesterol metabolism through distinct mechanisms. By using a gene expression profiling approach, we were able to broaden the understanding of the molecular mechanisms by which GBE lowers cellular cholesterol levels. Specifically, we demonstrated that GBE exhibited dual effects on the cellular cholesterol pool by modulating both HMG-CoA reductase activity and inhibiting cholesterol influx."
"","","","","Honey","AMPK; LDLR","","HepG2","","correlated with changes in transcriptional levels of AMPK and LDLR","33466262","Manuka honey and newly developed honeys (arjuna, guggul, jiaogulan and olive) were examined for their physicochemical, biochemical properties and effects on oxidative stress and cholesterol homeostasis in fatty acid-induced HepG2 cells. The honeys exhibited standard moisture content (20%), electrical conductivity (0.8 mS/cm), acidic pH, and monosaccharides (60%), except olive honey (60% total monosaccharides). They all expressed non-Newtonian behavior and 05 typical regions of the FTIR spectra as those of natural ones. Guggul and arjuna, manuka honeys showed the highest phenolic contents, correlating with their significant antioxidant activities. Arjuna, guggul and manuka honeys demonstrated the agreement of total cholesterol reduction and the transcriptional levels of AMPK, SREBP2, HCMGR, LDLR, LXRα. Jiaogulan honey showed the least antioxidant content and activity, but it was the most cytotoxic. Both jiaogulan and olive honeys modulated the tested gene in the pattern that should lead to a lower TC content, but this reduction did not occur after 24 h. All 2% concentrations of tested honeys elicited a clearer effect on NQO1 gene expression. In conclusion, the new honeys complied with international norms for natural honeys and we provide partial evidence for the protective effects of manuka, arjuna and guggul honeys amongst the tested ones on key biomarkers of oxidative stress and cholesterol homeostasis, pending further studies to better understand their modes of action."
"","","","","Hordeum vulgare","LDLR; ACC; PPARα; ACOX1","","Syrian golden hamster","","regulated the expression of proteins related to fatty acid synthesis and decomposition (SREBP-1/ACC/FAS/AceS1, PPARα/ACSL/CPT1/ACOX1) and cholesterol synthesis and clearance (HMGCR, LDLR, CYP7A1)","34923087","Hepatocyte lipid accumulation is the main feature in the early stage of nonalcoholic fatty liver disease (NAFLD). Highland barley Monascus purpureus Went (HBMPW), a fermentation product of Hordeum vulgare Linn. var. nudum Hook. f. has traditionally been used as fermented foods in Tibet with the effect of reducing blood lipid in folk medicine. This study investigated the protective effects and molecular mechanism of highland barley Monascus purpureus Went extract (HBMPWE) on NAFLD in syrian golden hamster fed with high-fat, high-fructose, high-cholesterol diet (HFFCD). HFFCD-induced NAFLD golden hamster model was established and treated with HBMPWE. Liver index, biochemical index, and hematoxylin and eosin (HE) staining were observed. Liver metabolomics and western blot analysis were employed. Our study found that HBMPWE ameliorated HFFCD induced dyslipidemia, weight gain and elevated the liver index. In addition, HBMPWE treatment significantly attenuated lipid accumulation in the liver and modulated lipid metabolism (sphingolipid, glycerophospholipid). Our data demonstrated that HBMPWE not only regulated the expression of proteins related to fatty acid synthesis and decomposition (SREBP-1/ACC/FAS/AceS1, PPARα/ACSL/CPT1/ACOX1), but also regulated the expression of proteins related to cholesterol synthesis and clearance (HMGCR, LDLR, CYP7A1). HBMPWE improved NAFLD through multiple pathways and multiple targets in body metabolism and could be used as a functional food to treat NAFLD and other lipid metabolic disorders."
"","","","","Krill oil","LDLR; CD36","","ICR male mouse, HepG2","","inhibited suppression of LDLR and activated CD36-related pathways","39519447","Several Previous studies indicate that consuming krill oil may aid in reducing hypercholesterolemia and improving cholesterol metabolism. Therefore, our study was designed to investigate the effectiveness of Antarctic krill oil (Euphausia superba) (ESKO) in combating obesity and lowering fat/lipid/cholesterol levels. The study aimed to investigate the molecular docking model targeting 3-hydroxy-3-methylglutaryl-CoA reductase (HMGCR) using ESKO-derived eicosapentaenoic acid (EPA), docosahexaenoic acid (DHA), and astaxanthin. In this study, histological alterations in the liver of the obesity model (ICR male mouse), obesity-related or antioxidant markers in both liver and serum, the molecular mechanisms in HepG2 cells and liver tissue, and HMGCR activity were analyzed. Our findings revealed that a high-fat diet (HFD) significantly led to increased oxidative stress, obesity-related indicators, and cardiovascular-associated risk indices. However, ESKO effectively mitigated HFD-induced oxidative stress, fat accumulation, and the suppression of low-density lipoprotein receptor (LDLR) or activation of related molecular pathways. This was achieved through improvements in metabolic parameters, including CD36/liver X receptor α (LXRα)/sterol regulatory element-binding protein 1c (SREBP1c), proprotein convertase subtilsin/kexin type 9 (PCSK-9), and HMGCR, ultimately ameliorating HFD-induced hypercholesterolemia and obesity. These beneficial findings indicate that ESKO might have significant potential for preventing and treating obesity-related disorders."
"","","","","Lactiplantibacillus plantarum","LDLR; NPC1L1","","mice, HepG2","","upregulated LDLR and NPC1L1","40709504; 40877713","In recent years, hypercholesterolemia has become one of the important risk factors for death around the world. Lactic acid bacteria (LAB), especially Lactiplantibacillus plantarum, exhibit strain-specific property of cholesterol-lowering activity. However, the metabolic mechanism involved in lipid-lowering capacity and regulation of intestinal flora of L. plantarum has not been well elucidated comprehensively. The present study aimed to screen out cholesterol-lowering lactic acid bacteria from healthy lean individuals, evaluate their cholesterol-lowering effect and disclose its mechanism of amelioration of hypercholesterolemia in mice fed a high-cholesterol diet (HCD). Upon probiotic properties evaluation, the cholesterol removal rate of Lactiplantibacillus plantarum GLPL02 was 53.58%, and cholesterol degradation rate was 39.39%. In the systematic exploration of a model of HCD-induced mice and fecal microbiota transplantation, L. plantarum GLPL02 was found to reduce plasma lipid profiles (total cholesterol, triglycerides and low-density lipoprotein-cholesterol) and glucose tolerance, alleviate liver damage and steatosis, positively regulate intestinal flora related to cholesterol metabolism, upregulate genes relevant to decomposition (CYP7A1) and transportation (LDLR, ABCG5/8 and NPC1L1) of cholesterol, and downregulate genes relevant to synthesis (SREBP-2 and HMGCR), thereby improving hypercholesterolemia. Meanwhile, acetate and butyrate affected cholesterol metabolism in HepG2 cell through regulating cholesterol metabolism. Therefore, L. plantarum GLPL02 ameliorated hypercholesterolemia by regulating intestinal flora and genes related to cholesterol metabolism. The present study indicates that L. plantarum GLPL02 and short-chain fatty acids (propionate, butyrate) ameliorated hypercholesterolemia and offers new insights into the role of L. plantarum in systemic cholesterol reduction from the perspective of microbiota-short-chain fatty acid interactions. © 2025 Society of Chemical Industry."
