source_id,abstract,included_plant_compound,matched_name,no,included_target,extract_type,cell_lines,parameter,effect_on_target,pathway_name,core_biology,categories
11113162,"The effects of the plant growth regulator ethylene, and of ethylene inhibitors, on barley (Hordeum vulgare L.) germination and seedling growth were investigated. Exogenous 1-aminocyclopropane-1-carboxylic acid (ACC) at 100 microM enhanced ethylene production by barley seedlings and stimulated shoot growth, whereas both germination and seedling growth were inhibited by antagonists of ethylene perception (75 microM silver ions, 100 microM 2,5-norbornadiene (NBD)). In contrast, germination was unaffected by, and root and shoot growth of seedlings was strongly stimulated by inhibitors of ethylene biosynthesis (10 microM cobalt chloride, 10 microM aminoethoxyvinylglycine (AVG)). Since the ethylene and polyamine biosynthetic pathways are linked through S:-adenosylmethionine, this prompted further explorations into the role of polyamines in germination and seedling growth. Exogenous polyamines (putrescine, spermidine and spermine) at 1 microM concentration stimulated barley seedling growth in a similar fashion to the ethylene biosynthetic inhibitors. Both polyamines and ethylene biosynthetic inhibitors reversed the inhibitory effects of ethylene perception inhibitors on germination and seedling growth. Blocking endogenous ethylene production with aminoethoxyvinylglycine enhanced the free putrescine and spermidine content of germinating barley grains. Thus endogenous polyamines may play a complementary, growth-promotive, role to ethylene in the normal course of barley germination. Further, experiments that have been carried out using inhibitors of ethylene biosynthesis may have to be re-evaluated to take the possible effect of polyamines into account.",Malted barley,Hordeum vulgare,35,ACC,,,100 microM,enhanced ethylene production,AMPK endothelial stress-response pathway; AMPK–ACC fuel selection pathway; AMPK–ACC lipid metabolism pathway,Endothelial energy sensing; Energy sensing & switch; Hepatic energy sensing,Cardiovascular & Vascular Aging; Metabolic Health / Diabetes / Obesity; Liver Health / Fibrosis
11164593,"This study was conducted to determine whether the inhibition of nitrate reductase activity (NRA; EC 1.6.6.1) in barley (Hordeum vulgare L. var. CM-72) roots by the amino acids (glutamic, aspartic, glutamine and asparagine) is a direct effect or indirect due to inhibition of the NO(3)(-) uptake system. Roots of 8-day-old intact seedlings were supplied with the amino acids (I mM) individually either with NO(3)(-) (0.1 or 10 mM) or roots were pretreated with the amino acids and then supplied with NO(3)(-) only. Nitrate uptake was determined by following NO(3)(-) depletion from the uptake solution containing 0.1 mM NO(3)(-). All the amino acids inhibited the increase in NO(3)(-) uptake similarly (50-60%) when the roots were supplied with 0.1 mM NO(3)(-). Pretreatment with glutamic and aspartic acids was more inhibitory (70-80%) than with glutamine and asparagine (30%). The amino acids partially inhibited (35%) the induction of NRA in roots supplied with 0.1 mM NO(3)(-); however, no inhibition occurred at 10 mM NO(3)(-). Likewise, pretreatment with glutamic or aspartic acid inhibited the induction of NRA at 0.1 mM NO(3)(-) but not at 10 mM NO(3)(-). In contrast, pretreatment with glutamine or asparagine had no effect on the subsequent induction of NRA, even at 0.1 mM NO(3)(-). The results suggest that, at low NO(3)(-) supply, the inhibition of induction of NRA by the amino acids is a result of the lack of substrate availability due to inhibition of the NO(3)(-) uptake system.",Malted barley,Hordeum vulgare,35,NO,,roots of 8-day-old intact seedlings,,inhibited nitrate reductase activity (NRA) induction by 35% at 0.1 mM NO3-,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
11164801,"In previous studies we have already shown that the extract of Ginkgo biloba, and some of its constituents, such as ginkgolide B and bilobalide, protected cultured neurons against apoptotic and excitotoxic damage and reduced the infarct volume after focal cerebral ischemia in mice and rats. In this work, we determined the neuroprotective and antioxidative effects of 4-hydroxy-4-tert-butyl-2,3,5,6-tetrahydrothiopyran-1-oxide (NV-31), a stable compound which was synthesized to mimic the pharmacological activity profile of bilobalide. In pure neuronal cultures from chick embryo telencephalon, damage was induced by serum deprivation (24 h) and exposure to staurosporine (200 nM, 24 h) which caused an increase in the percentage of apoptotic neurons from 14 (controls) to 30 and 55%, respectively. NV-31 (1-100 nM) protected dose-dependently chick neurons against both serum deprivation- and staurosporine-induced apoptosis. Similarly, NV-31 (100 nM) reduced staurosporine (300 nM, 24 h)-induced neuronal damage in mixed cultures of neurons and astrocytes from neonatal rat hippocampus. The cellular ROS content increased 6-fold 4 h after serum deprivation as well as 4 h after the exposure to staurosporine and this increase was reduced by 50% in the presence of 10 and 100 nM NV-31, respectively. In mice, a treatment with 10 and 20 mg/kg NV-31 60 min before and immediately after focal cerebral ischemia, respectively, significantly reduced the infarct area compared with vehicle-treated animals. In the present study, we show that NV-31 promotes neuronal survival and we suggest that its antioxidative property contributes to the mechanism of neuroprotection.",Ginkgo nut,Ginkgo biloba,17,ROS,,"chick embryo telencephalon, neonatal rat hippocampus, mice","1-100 nM (chick neurons), 100 nM (rat cultures), 10 and 20 mg/kg (mice)",reduced ROS content by 50% at 10 and 100 nM,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
11199954,"The purpose of the study was to evaluate the effect of the classic antipsychotic haloperidol plus extract of ginkgo biloba (EGb) on treatment-resistant chronic schizophrenia and on blood superoxide dismutase (SOD) levels. Eighty-two patients with chronic refractory schizophrenia were studied. Forty-three patients were treated with haloperidol plus extract of ginkgo biloba (group 1), and 39 received haloperidol plus placebo (group 2). SOD levels of these patients were measured before and after treatment and were compared with SOD levels of 30 healthy volunteers. Therapeutic efficiency was equated with a change in clinical rating scores assessed by standardized measurement tools that included the Scale for the Assessment of Positive Symptoms and the Scale for the Assessment of Negative Symptoms (SANS) over this period. Patients in group 1 improved significantly as demonstrated by scores from these two assessment instruments; those in group 2 improved significantly only as shown by scores on SANS. SOD levels before treatment in all patients were significantly higher than those in healthy controls; after treatment, the SOD level decreased significantly in group 1 but not in group 2. These results suggest that EGb may enhance the efficiency of the classic antipsychotic haloperidol in patients with schizophrenia, especially on their positive symptoms, and that EGb may work through an antioxidant effect that is involved in the therapeutic mechanism in patients with chronic refractory schizophrenia.",Ginkgo nut,Ginkgo biloba,17,SOD,extract,human,,decreased SOD levels significantly,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
11226385,"Nitric oxide (NO) is a principal mediator in many physiological and pathological processes. NO produced by constitutive nitric oxide synthase in endothelial cells (eNOS) acts as a vasodilator, whereas excess NO production due to elevated expression of inducible nitric oxide synthase (iNOS) may produce cytotoxic effects to cells in the vascular wall. We demonstrated in our previous work that the extract of Ginkgo biloba leaves (EGb) inhibits iNOS-mediated NO production. The objective of the present study was to investigate the effects of several active EGb components on iNOS-mediated NO production in macrophages derived from a human monocytic cell line (THP-1), as well as on eNOS-mediated NO production in human umbilical vein endothelial cells (HUVEC). Ginkgolide A, ginkgolide B, or bilobalide (0.25 to 1.0 microg/mL) caused a 30-65% reduction in the levels of NO metabolites released by THP-1 macrophages after 4 hr of incubation, with a corresponding decrease in iNOS activity. Western immunoblotting analysis coupled with a nuclease protection assay and reverse transcription-polymerase chain reaction revealed a concomitant reduction in the levels of iNOS protein mass and mRNA in ginkgolide A-, ginkgolide B-, or bilobalide-treated macrophages. On the other hand, these compounds did not affect eNOS-mediated NO production or the expression of eNOS protein and mRNA in HUVEC. Taken together, these results suggest that ginkgolide A, ginkgolide B, and bilobalide may contribute to the selective inhibitory effect of EGb on iNOS expression without affecting eNOS-mediated NO production.",Ginkgo nut,Ginkgo biloba,17,eNOS; NO,EGb,"THP-1, HUVEC",0.25 to 1.0 microg/mL,did not affect eNOS-mediated NO production or the expression of eNOS protein and mRNA in HUVEC,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
11240915,"Recent evidence has indicated that activated oxygen species (AOS) may function as molecular signals in the induction of defence genes. In the present work, the response of antioxidative enzymes to the plum pox virus (PPV) was examined in two apricot (Prunus armeniaca L.) cultivars, which behaved differently against PPV infection. In the inoculated resistant cultivar (Goldrich), a decrease in catalase (CAT) as well as an increase in total superoxide dismutase (SOD) and dehydroascorbate reductase (DHAR) activities were observed. Ascorbate peroxidase (APX), glutathione reductase (GR) and monodehydroascorbate reductase (MDHAR) did not change significantly in relation to non-inoculated (control) plants. In the susceptible cultivar (Real Fino), inoculation with PPV brought about a decrease in CAT, SOD and GR, whereas a rise in APX, MDHAR and DHAR activities was found in comparison to non-inoculated (control) plants. Apricot leaves contain only CuZn-SOD isozymes, which responded differently to PPV depending on the cultivar. Goldrich leaves contained 6 SODs and both SOD 1 and SOD 2 increased in the inoculated plants. In leaves from Real Fino, 5 SODs were detected and only SOD 5 was increased in inoculated plants. The different behaviour of SODs (H2O2-generating enzymes) and APX (an H2O2-remover enzyme) in both cultivars suggests an important role for H2O2 in the response to PPV of the resistant cultivar, in which no change in APX activity was observed. This result also points to further studies in order to determine if an alternative H2O2-scavenging mechanism takes place in the resistant apricot cultivar exposed to PPV. On the other hand, the ability of the inoculated resistant cultivar to induce SOD 1 and SOD 2 as well as the important increase of DHAR seems to suggest a relationship between these activities and resistance to PPV. This is the first report about the effect of PPV infection on the antioxidative enzymes of apricot plants. It opens the way for the further studies, which are necessary for a better understanding of the role of antioxidative processes in viral infection by PPV in apricot plants.",Apricot kernel,Prunus armeniaca,27,SOD,,,,increased total superoxide dismutase (SOD) activity in resistant cultivar (Goldrich) and decreased SOD activity in susceptible cultivar (Real Fino),NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
11349824,"The hypotensive effects of the water extract of Marrubium vulgare L. and Foeniculum vulgare L. were investigated in spontaneously hypertensive rats (SHR) and in normotensive Wistar-Kyoto rats (WKY). Oral administration of Marrubium or Foeniculum extract lowered the systolic blood pressure of SHR but not of WKY. In SHR, Foeniculum but not Marrubium treatment increased water, sodium and potassium excretion. Ex vivo as well as in vitro, Marrubium extract inhibited the contractile responses of rat aorta to noradrenaline and to KCl (100 mM). Inhibition was greater in aorta from SHR compared to WKY and was not affected by the NO synthase inhibitor N-nitro-L-arginine. Vascular effects of Foeniculum extract were less pronounced than those of Marrubium and were blocked by N-nitro-L-arginine. These results indicate that hypotensive activity of Marrubium and Foeniculum extracts seems to be mediated through different pathways: Foeniculum appeared to act mainly as a diuretic and a natriuretic while Marrubium displayed vascular relaxant activity.",Fennel seed,Foeniculum vulgare,4,NO,water,"SHR, WKY",,,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
11351079,"Gibberellins (GAs) initiate a series of events that culminate in programmed cell death, whereas abscisic acid (ABA) prevents this process. Reactive oxygen species (ROS) are key elements in aleurone programmed cell death. Incubation of barley (Hordeum vulgare) aleurone layers in H2O2 causes rapid death of all cells in GA- but not ABA-treated layers. Sensitivity to H2O2 in GA-treated aleurone cells results from a decreased ability to metabolize ROS. The amounts and activities of ROS scavenging enzymes, including catalase (CAT), ascorbate peroxidase, and superoxide dismutase are strongly down-regulated in aleurone layers treated with GA. CAT activity, protein, and Cat2 mRNA decline rapidly following exposure of aleurone layers to GA. In ABA-treated layers, on the other hand, the amount and activity of CAT and Cat2 mRNA increases. Incubation in ABA maintains high amounts of ascorbate peroxidase and superoxide dismutase, whereas GA brings about a rapid reduction in the amounts of these enzymes. These data imply that GA-treated cells loose their ability to scavenge ROS and that this loss ultimately results in oxidative damage and cell death. ABA-treated cells, on the other hand, maintain their ability to scavenge ROS and remain viable.",Malted barley,Hordeum vulgare,35,ROS,,,,"GA-treated aleurone layers show decreased ROS scavenging enzyme activities, leading to increased ROS levels and oxidative damage.",Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
11378174,"Aluminum-induced cell death was investigated in root-tip cells of barley (Hordeum vulgare). The growth of roots in 0.1-50 mM Al treatments was inhibited after 8 h treatments, and could not be recovered after 24 h recovery culture without Al. Viable detection with fluorescein diacetate-propidium iodide (FDA-PI) staining shows that most of the root-tip cells have lost viability. These results suggest that the irreversible inhibition of root growth after 8 h Al treatments or 24 h recovery culture is mainly caused by cell death. DNA ladders occurred in root tips only after 8 h Al treatments (0.1-1.0 mM), but no apoptotic bodies in root tips were observed. Thus, the cell death caused by Al stress is likely to be Al-induced programmed cell death (PCD). The reactive oxygen species (ROS) in root-tip cells measured by ultraweak luminescence indicated that the oxidation status in root-tip cells basically ceased after exposure to 10-50 mM Al for 24 h, but was very violent in the root-tip cells treated with 0.1-1.0 mM for 24 h. Exposure to 0.1-1.0 mM Al for 3-12 h led to ROS burst. Therefore, our results suggest that 0.1-1.0 mM Al treatments for 8 h induce cell death (Al-induced PCD) possibly via a ROS-activated signal transduction pathway, whereas 10-50 mM Al treatments may cause necrosis in the root-tip cells. These results have an important role for further studies on the mechanism of Al toxicity in plants.",Malted barley,Hordeum vulgare,35,ROS,,,,"induced ROS burst (0.1-1.0 mM Al for 3-12 h), violent ROS reaction (0.1-1.0 mM Al for 24 h)",Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
11437182,"Acute ultraviolet-B (UV-B) irradiation is known to act as an initiator in the formation of reactive oxygen species. These oxygen products are highly reactive and they are able to cause irreversible damage to cellular components. Oxygen free radicals are normally neutralized by very efficient systems in the body. These include antioxidant enzymes like superoxide dismutase (SOD). In a healthy subject, there is a balance between free radicals and the levels of antioxidants. In some pathological conditions such as oxidative stress, the level of antioxidants is significantly reduced. The skin contains relatively high levels of zinc (Zn), an essential element known to be a cofactor in some metabolic pathways. Zinc has also been reported to have antioxidant properties. In the present study, we investigated the effect of ginkgo biloba extract (Gbe), a potent free-radical scavenger, on UV-B-irradiated skin by measuring SOD activity and Zn levels in the skin, before and after treatment. The SOD activity was decreased after UV-B exposure, in comparison with the control group (p  0.05). After Gbe treatment, the SOD activity increased (p  0.05) as compared with the untreated UV-B irradiated group. The Zn levels changed in the same pattern as the SOD activity values.",Ginkgo nut,Ginkgo biloba,17,SOD,ginkgo biloba extract,,,increased SOD activity,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
11506812,"Cinnamomum cassia is used as a flavoring spice with some established medicinal properties. In this study, we evaluated the antimutagenic effect of C. cassia against two mutagens, viz. benzo[a]pyrene (B[a]P) and cyclophosphamide (CP). The antimutagenic properties of C. cassia were examined by the Ames test. In vivo chromosomal aberration (CA) and micronuclei tests were also employed to assess the antimutagenic effect of C. cassia in mice after pretreatment with the extract orally for seven consecutive days. To elucidate the mechanism by which C. cassia exerts its antimutagenic effect, certain key enzymes involved in bioactivation and detoxification processes were also investigated. Changes in liver cytochrome P450 (Cyt P450), glutathione content (GSH), glutathione S-transferase (GST), glutathione reductase (GR), and glutathione peroxidase (GPX) were evaluated in pretreated animals. It was observed in the Ames test, bone marrow chromosomal aberration assay, and micronucleus test that C. cassia exerted significant antimutagenic effects against B[a]P and CP in animals treated with the plant extract. C. cassia pretreatment decreased Cyt P450 content but increased GSH content and the activity of glutathione-dependent antioxidant enzymes, viz. GST, GR, and GPX. The present findings demonstrate that the antimutagenic potential of C. cassia could be attributed to its modulatory effect on the xenobiotic bioactivation and detoxification processes.",Cinnamon bark,Cinnamomum cassia,24,GSH,,mice,,increased GSH content,Glutathione redox defense pathway,Oxidative stress,Liver Health / Fibrosis
11507743,"The standardized extract of Ginkgo biloba (EGb 761) has been widely employed for its significant benefit in neurodegenerative disorders. Although antioxidative actions have been attributed to this extract, the mechanisms of the multiple principles involved in this pharmacological activity are not completely established. Parkinson's and Alzheimer's diseases are frequently associated with oxidative stress and defects in the cellular protective mechanisms. In this study, the lipid peroxidation (LPO) and the activity of the antioxidant enzymes, catalase (CAT) and superoxide dismutase (SOD) were evaluated in the hippocampus, striatum and substantia nigra (SN) of rats treated with EGb 761. An increase in the CAT and SOD activities in the hippocampus, striatum and SN, and a decrease of the LPO in the hippocampus were observed. These data are additional to the antioxidant properties of EGb 761 reported in the literature and indicate a possible role for the extract in the treatment of diseases involving free radicals and oxidative damage.",Ginkgo nut,Ginkgo biloba,17,SOD,standardized extract,,,increased SOD activity,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
11518563,"Administration of bacterial lipopolysaccharide (LPS) to laboratory animals and cultured macrophages is known to induce the production of nitric oxide (NO) from inducible nitric oxide synthase (iNOS). Here we show that pre-treatment with Ginkgo biloba extract (EGb 761) suppresses the in vivo production of NO (measured by the Griess reaction) after challenge with LPS. In order to begin to understand the mechanism of this inhibition, we evaluated in vitro effects of EGb 761 and its flavonoid component, quercetin, on LPS-treated RAW 264.7 macrophages. Pre-treatment with EGb 761 or quercetin dose-dependently inhibited NO release. Both substances scavenged NO generated from the decomposition of sodium nitroprusside. Western analysis showed that EGb 761 and quercetin inhibited LPS-induced levels of iNOS protein. Northern blotting demonstrated that EGb 761 and quercetin decreased LPS-induced iNOS mRNA levels without altering the half-life. Activation of mitogen activated protein kinases (MAPKs) and the redox-sensitive transcription factors, nuclear factor-kappaB (NF-kappaB) and activator protein 1 (AP-1) are key events in the signal transduction pathways mediating iNOS induction. In our studies, both EGb 761 and quercetin inhibited p38 MAPK activity, which is necessary for iNOS expression in LPS-stimulated RAW 264.7 macrophages. However, differences in the response of NF-kappaB, AP-1, and Jun N-terminal kinase/stress activated protein kinase (JNK/SAPK) and its downstream substrates to EGb 761 and quercetin suggest that quercetin is not the sole component responsible for the in vivo inhibition of LPS-induced iNOS activation by EGb 761.",Ginkgo nut,Ginkgo biloba,17,NO,Ginkgo biloba extract,RAW 264.7,,inhibited NO production and NO release,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
11535366,"Sixty-eight water and methanol extracts from 34 Chinese herbal drugs, most of which are used for inflammatory diseases, were screened for their inhibitory effects on nitric oxide (NO) production in lipopolysaccharide (LPS)-stimulated J774.1 macrophages and in LPS/interferon (IFN)-gamma-stimulated mouse peritoneal exudate macrophages. Among the extracts, methanol extracts of Myristica fragrans, Plantago asiatica, Rubia cordifolia, and Zanthoxylum bungeanum showed significant inhibition in J774.1 macrophages, while in mouse peritoneal exudate macrophages, water extracts of Ru. cordifolia and Scutellaria baicalensis and methanol extracts of Angelica megaphylla, My. fragrans, and Z. bungeanum inhibited the NO production. Among them, inhibition of water extract of Sc. baicalensis was found to be mainly due to direct scavenging of NO radicals, through an examination of its scavenging activity on PAPA NONOate-generated NO radicals, while water extract of Ru. cordifolia and methanol extracts of An. megaphylla, My. fragrans, P. asiatica, and Z. bungeanum showed inhibition on iNOS mRNA expression. At last, an inhibitory compound on iNOS mRNA expression was isolated from a methanol extract of Z. bungeanum and identified as 4-O-beta-D-glucopyranosyldihydroferulic acid by NMR spectral analyses and chemical synthesis.",Sichuan pepper,Zanthoxylum bungeanum,31,NO,methanol,"J774.1, mouse peritoneal exudate macrophages",,inhibited NO production,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
11673643,"The objective of the present study was to characterize the action of Ginkgo biloba extract (EGb761) and its sub-fractions on glutathione homeostasis in a human keratinocyte cell culture model. Cells were incubated with EGb761, its purified flavonoid (quercetin, kaempferol, rutin) or terpenoids (gingkolides A, B, C, J, bilobalide) constituents or the vehicle for up to 72 hours. Incubation of keratinocytes with the purified flavonoids or terpenoids did not affect cellular GSH levels. However, EGb761 treatment (up to 200 microg/ml) resulted in a dose-dependent increase of cellular GSH. Western blot analysis of extracts from cells treated with EGb761 revealed increased levels of the catalytic subunit of gamma-glutamylcysteinyl synthetase (gamma-GCS), the rate-limiting enzyme in GSH synthesis. The abundance of mRNA for the catalytic subunit (assayed by RT-PCR) was also increased by the treatment with EGb761. Increased levels of cellular GSH by EGb761 were also observed in other cell lines including those from human bladder and liver as well as in murine macrophages indicating that the induction of gamma-GCS mRNA, protein and GSH may be an ubiquitous effect of EGb761 in mammalian cells.",Ginkgo nut,Ginkgo biloba,17,GSH,Ginkgo biloba extract,"human keratinocyte, human bladder, human liver, murine macrophages",up to 200 microg/ml,dose-dependent increase of cellular GSH,Glutathione redox defense pathway,Oxidative stress,Liver Health / Fibrosis
11716149,"Enhanced apoptosis and elevated levels of reactive oxygen species (ROS) play a major role in aging. In addition, several neurodegenerative diseases are associated with increased oxidative stress and apoptosis in neuronal tissue. Antioxidative treatment has neuro-protective effects. The aim of the present study was to evaluate changes of susceptibility to apoptotic cell death by oxidative stress in aging and its inhibition by the antioxidant Ginkgo biloba extract EGb761. We investigated basal and ROS-induced levels of apoptotic lymphocytes derived from the spleen in young (3 months) and old (24 months) mice. ROS were induced by 2-deoxy-D-ribose (dRib) that depletes the intracellular pool of reduced glutathione. Lymphocytes from aged mice accumulate apoptotic cells to a significantly higher extent under basal conditions compared to cells from young mice. Treatment with dRib enhanced this difference, implicating a higher sensitivity to ROS in aging. Apoptosis can be reduced in vitro by treatment with EGb761. In addition, mice were treated daily with 100 mg/kg EGb761 per os over a period of two weeks. ROS-induced apoptosis was significantly reduced in the EGb761 group. Interestingly, this effect seemed to be more pronounced in old mice.",Ginkgo nut,Ginkgo biloba,17,ROS,Ginkgo biloba extract EGb761,mice,100 mg/kg/day,reduced ROS-induced apoptosis in old mice,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
11808554,"Two modern fungicides, a strobilurin, azoxystrobin (AZO), and a triazole, epoxiconazole (EPO), applied as foliar spray on spring barley (Hordeum vulgare L. cv. Scarlett) 3 days prior to fumigation with injurious doses of ozone (150-250 ppb; 5 days; 7 h/day) induced a 50-60% protection against ozone injury on leaves. Fungicide treatments of barley plants at growth stage (GS) 32 significantly increased the total leaf soluble protein content. Additionally, activities of the antioxidative enzymes superoxide dismutase (SOD), catalase (CAT), ascorbate-peroxidase (APX) and glutathione reductase (GR) were increased by both fungicides at maximal rates of 16, 75, 51 and 144%, respectively. Guiacol-peroxidase (POX) activity was elevated by 50-110% only in AZO treated plants, while this effect was lacking after treatments with EPO. This coincided with elevated levels of hydrogen peroxide (H2O2) only in EPO and not in AZO treated plants. The enhancement of the plant antioxidative system by the two fungicides significantly and considerably reduced the level of superoxide (O2*-) in leaves. Fumigation of barley plants for 4 days with non-injurious ozone doses (120-150 ppb, 7 h/day) markedly and immediately stimulated O2*- accumulation in leaves, while H2O2 was increased only after the third day of fumigation. Therefore, O2*- itself or as precursor of even more toxic oxyradicals appears to be more indicative for ozone-induced leaf damage than H2O2. Ozone also induced significant increases in the activity of antioxidant enzymes (SOD, POX and CAT) after 2 days of fumigation in fungicide untreated plants, while after 4 days of fumigation these enzymes declined to a level lower than in unfumigated plants, due to the oxidative degradation of leaf proteins. This is the first report demonstrating the marked enhancement of plant antioxidative enzymes and the enhanced scavenging of potentially harmful O2*- by fungicides as a mechanism of protecting plants against noxious oxidative stress from the environment. The antioxidant effect of modern fungicides widely used in intense cereal production in many countries represents an important factor when evaluating potential air pollution effects in agriculture.",Malted barley,Hordeum vulgare,35,SOD,,,,increased activity of superoxide dismutase (SOD) by 16% (azoxystrobin) and 75% (epoxiconazole) respectively,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
12000450,"We report here that NO(3)(-) in the xylem exerts positive feedback on its loading into the xylem through a change in the voltage dependence of the Quickly Activating Anion Conductance, X-QUAC. Properties of this conductance were investigated on xylem-parenchyma protoplasts prepared from roots of Hordeum vulgare by applying the patch-clamp technique. Chord conductances were minimal around -40 mV and increased with plasma membrane depolarisation as well as with hyperpolarisation. Two gates with opposite voltage dependences were postulated. When 30 mM Cl- in the bath was replaced by NO(3)(-), a shift in the midpoint potential of the depolarisation-activated gate by about -60 mV from 43 to -16 mV occurred (K(m) = 3.4 mM). No such effect was seen when chloride was replaced by malate. Addition of 10 mM NO(3)(-)to the pipette solution and reduction of [Cl-] from 124 to 4 mM (to simulate cytoplasmic concentrations) did not interfere with the voltage dependence of X-QUAC activation, nor was it affected by changes in external [K+]. If only the NO(3)(-) effect on gating was considered, an increase of the NO(3)(-) concentration in the xylem sap to 5 mM would result in an enhancement of NO(3)(-) efflux by about 30%. Although the driving force for NO(3)(-) efflux would be reduced simultaneously, NO(3)(-) efflux into the xylem through X-QUAC would be maintained with high NO(3)(-) concentrations in the xylem sap; a situation which occurs for instance during the night.",Malted barley,Hordeum vulgare,35,NO,,xylem-parenchyma protoplasts,,,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
12088800,"There is increasing evidence to support the hypothesis that free radical-mediated oxidative processes contribute to atherogenesis. More recently the ability of antioxidant nutrients to affect cell response and gene expression has been reported in vitro, providing a novel mechanistic perspective for the biological activity of antioxidants. Sea buckthorn (Hippophaë rhamnoides L.) is a rich source of antioxidants both aqueous and lipophilic, as well as polyunsaturated fatty acids. The objective of the study was to characterize the antioxidant profile of Sea buckthorn juice (SBJ) and to evaluate its effect on plasma lipids, LDL oxidation, platelet aggregation and plasma soluble cell adhesion protein concentration. Twenty healthy male volunteers were given either a placebo or SBJ for 8 weeks. Additional daily intakes of vitamin C, alpha-tocopherol, beta-carotene and flavonoids through SBJ supplementation were 462, 3.2, 1.0 and 355 mg respectively. There were no significant changes in plasma total cholesterol, LDL-C, platelet aggregation or plasma intercellular cell adhesion molecule 1 (ICAM-1) levels between treatment groups. Although not significant, a 20% and 17% increase in plasma HDL-C and triacylglycerol (TAG) concentrations were observed. SBJ supplementation also resulted in a moderate decrease in the susceptibility of LDL to oxidation.",Sea buckthorn,Sea buckthorn,28,LDL-C,juice,human,"daily intake of 462 mg vitamin C, 3.2 mg alpha-tocopherol, 1.0 mg beta-carotene, and 355 mg flavonoids through SBJ supplementation",no significant changes in plasma LDL-C levels,Hepatic lipoprotein clearance pathway,Cholesterol flux balance,Cardiovascular & Vascular Aging
12107763,"This study investigated the effects of bilobalide, a constituent of Ginkgo biloba, on potassium and veratridine-induced release of glutamate and aspartate from mouse cortical slices. We also studied its effects on spontaneous and N-methyl-D-aspartate (NMDA)-induced depolarizations elicited in magnesium-free artificial cerebrospinal fluid (aCSF) as well as its effect on NO-711 (a gamma-aminobutyric acid (GABA) uptake inhibitor)-induced depolarizations. Bilobalide, 100 microM significantly reduced both glutamate and aspartate release elicited by potassium or veratridine. Bilobalide (5-100 microM) also significantly reduced the frequency of NO-711 induced depolarizations, however, it had no effect on spontaneous or on NMDA-induced depolarizations at 5-200 microM. These results suggest that the neuroactive properties of bilobalide may be mediated by a reduction in excitatory amino acid neurotransmitter release.",Ginkgo nut,Ginkgo biloba,17,NO,,mouse cortical slices,5-100 microM,,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
