source_id,abstract,included_plant_compound,matched_name,no,included_target
8737713,"The effects of an extract of Ginkgo biloba (EGb 761) on arteriolar spasm were confirmed using a preparation of rat cremaster muscle. When vasospasm was induced by rat serum, arteriolar constriction reached 25-30% of the initial diameter after 10 min. Intravenous injection of EGb 761 (30 mg/kg) 5 min after inducing spasm inhibited about 80% of this serum-induced vasoconstriction. As previous studies have shown that EGb 761 has an antiaggregatory effect on platelets, thrombin, serotonin (platelet-derived compounds that are present in the serum) and a thromboxane analogue (U46619) were also used to induce vasospasm. Administration of EGb 761 (30 mg/kg) 5 min after exposure of the preparation to serotonin (10(-3) M) or 10 min after exposure to thrombin (20 units) did not affect vasospasm induced by these agents. In contrast, treatment with this same dose of EGb 761 5 min after exposure of the preparation to U46619 (10(-4) M) abolished the arteriolar constriction induced by this agent in 15 min. The thromboxane/prostaglandin H2 receptor antagonist SQ29548 antagonized serum-induced vasospasm, indicating an involvement of thromboxane. Other experiments indicated that the effects of EGb 761 of counteracting vasospasm may be mediated in part by ginkgolide B, a triterpene constituent of the extract that is an antagonist of platelet-activating factor and in part by an 'NO-like' action of its proanthocyanidin constituents. Taken together, these results have revealed that EGb 761 treatment can antagonize the vasoconstrictor effect of thromboxane on arterioles. As thromboxane is implicated in many cardiovascular disorders, this property of EGb 761 may explain some of its beneficial clinical effects in such pathologies.",Ginkgo nut,Ginkgo biloba,17,NO
8868056,"The influence of ginkgo biloba extract on the lipid peroxide product (malondialdehyde, MDA), glutathione (GSH) and phospholipids levels as well as superoxide dismutase (SOD, 1.15.1.1) and lactate dehydrogenase (LDH, 1.1.1.27) activities in rat brain after occlusion of common carotid arteries was investigated. Two experimental models were studied: 60 min ischaemia without reperfusion and 60 min ischaemia followed by 60 min reperfusion. Compared to sham-operated animals, ischaemia followed by reperfusion increased cytosolic LDH activity and mitochondrial lipid peroxide content and decreased the superoxide dismutase activity and mitochondrial total phospholipids level. Preischaemic administration of ginkgo biloba extract (150 mg kg-1, p.o.) could normalize the SOD activity of the rat brain. The extract was also able to reduce the lipid peroxide and phospholipids contents of the mitochondrial rat brain. These effects could be explained on the basis of the antioxidant property of ginkgo biloba extract and suggests its beneficial role in the protection against post-ischaemic injury.",Ginkgo nut,Ginkgo biloba,17,SOD; GSH
9113109,"The present study was conducted to evaluate the effect of Ginkgo biloba extract (EGb 761) on the synthesis of nitric oxide (NO) induced by lipopolysaccharide (LPS) plus interferon-gamma (IFN-gamma) in the mouse macrophage cell line RAW 264.7. EGb 761 inhibited nitrite and nitrate production, taken as an index for NO, in a concentration-dependent fashion. The IC50 for inhibition of nitrite production by activated macrophages was about 100 micrograms/mL EGb 761. The inducible NO synthase (iNOS) enzyme activity of cytosolic preparations from activated RAW 264.7 cells was inhibited by treatment with EGb 761. In addition, reverse transcription-polymerase chain reaction (RT-PCR) analysis revealed that the expression of iNOS mRNA in activated macrophages was suppressed by high concentrations of EGb 761. However, NF-kappa B DNA binding activity induced by activation with LPS/IFN-gamma was not inhibited by EGb 761. These findings indicate that not only does EGb 761 directly act as an NO scavenger but also that it inhibits NO production in LPS/IFN-gamma-activated macrophages by concomitant inhibition of induction of iNOS mRNA and the enzyme activity of iNOS. Thus, EGb 761 may act as a potent inhibitor of NO production under tissue-damaging inflammatory conditions.",Ginkgo nut,Ginkgo biloba,17,NO
9192083,"Free radical scavenging activities of water-soluble extracts from some natural sources, health foods, and antioxidant substances were measured using the JES-FR30 JEOL spectrometer. The objective was to develop a standardized method whereby comparison could be made between the radical scavenging activities of complex mixtures. Scavenging of hydroxyl radical was determined using DMPO. Activity was calibrated using a standard material, L-ascorbic acid 2-[3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2H -1- benzopyran-6yl-hydrogen phosphate] potassium salt (EPC-K1), an analog of vitamin C and vitamin E which is water soluble and stable at room temperature. The order of greatest hydroxyl radical scavenging activity was green tea extract, pine bark extract (Pycnogenol), Ginkgo Biloba extract (EGb 761), a flavonoid blend of several fruit and vegetable extracts (GNLD), and Bio-Normalizer (Sun-O Corp). Activity was determined after treatment of samples with ascorbic acid oxidase. This treatment revealed the presence of ascorbate in some natural extracts and commercial preparations. The pine bark extract was the most heat resistant and had ascorbate-like activity in the preparations. Scavenging of superoxide anion was determined using the spin trap, 5,5-dimethyl-1-pyrroline-N-oxide (DMPO), and analyzed by comparison with a standard curve made with superoxide dismutase. Comparison of the water solubilized components of natural source antioxidants showed that filtrates fractionated using centrifuge type Millipore filter tubes (M.W.  100,000; M.W.  10,000) also had almost the same SOD-like activity. Samples were also treated with ascorbate oxidase or by heating (100 degrees C for 10 min). The order of activity, from greatest to least, was Ginkgo biloba extract EGb 761, pycnogenol, beta-catechin, tea and BioNormalizer.",Ginkgo nut,Ginkgo biloba,17,SOD
9315292,"Bio-Normalizer, a natural health food supplement prepared from Carica papaya and some other medicinal plants was investigated to determine its effects on cellular nitric oxide (nitrogen monoxide, NO) production and inducible nitric oxide synthase (iNOS) expression. Bio-Normalizer upregulated interferon (IFN)-gamma-induced NO production by macrophages in a dose-dependent manner. Such an effect of Bio-Normalizer on NO production was not due to changes in the activity of iNOS. Reverse transcription-polymerase chain reaction analysis revealed that the levels of iNOS mRNA were augmented by treatment of the cells with Bio-Normalizer and IFN-gamma. The ability of Bio-Normalizer to augment IFN-gamma-induced iNOS mRNA expression was independent of any changes on the mRNA stability. Treatment of cells with Bio-Normalizer alone did not affect NO production by macrophages. Tumor necrosis factor-alpha and interleukin-1 beta are involved in the induction of iNOS gene as well as the immune system. Bio-Normalizer augmented the mRNA expression of these cytokines in the presence of IFN-gamma. This suggests that Bio-Normalizer is not directly involved in the expression of iNOS, but shows synergistic interaction with IFN-gamma to induce NO synthesis.",Papaya,Carica papaya,11,NO
9399437,"Differential screening, aimed at the isolation of cDNA clones of mRNAs whose accumulation is influenced by GA3, resulted in the isolation of a cDNA clone of an mRNA whose level was decreased by GA3 in segments of epicotyls of Vigna angularis. The putative protein encoded by this cDNA resembled the 1-aminocyclopropane-1-carboxylate oxidases (ACC oxidases) identified in other plant species (about 80% homology at the amino acid level). Thus, the corresponding gene was designated AB-ACO1 (azuki bean ACC oxidase). GA3 also decreased the activity of ACC oxidase in azuki bean epicotyls, but it did not decrease the rate of ethylene evolution. In fact, GA3 increased the rate of ethylene evolution and the level of ACC. Thus, GA3 seemed to increase the production of ethylene by promoting the synthesis of ACC.",Adzuki bean,Vigna angularis,32,ACC
9697157,"Aged rats are highly prone to many physiological changes such as blood pressure and heart rate. These changes could be due to modification in membrane phospholipid composition of their blood vessels. Lipid peroxide in vivo has been identified as a basic deteriorative reaction in cellular mechanisms of aging in human. The effect of a nootropic drug, meclofenoxate (MF) or its combination with extract of ginkgo biloba (EGb-761) or zinc (Zn) on malondialdehyde (MDA) product as an index of endogenous lipid peroxidation; phospholipid; glutathione (GSH) and protein thiols (PrSHs) contents as well as superoxide dismutase (SOD) activity in blood, brain, heart and liver of 24-month-old male rats was investigated. Aged rats were treated with MF once daily at oral doses of 100 mg kg-1 body wt. alone or with either EGb at a dose of 150 mg kg-1 body wt. or Zn at 10.5 mg kg-1 body wt. for 4 weeks. This study showed that aging caused a higher increment in MDA level of brain and heart than liver and plasma accompanied with reduction in brain and heart phospholipid contents as well as alteration of the antioxidant systems as compared to 4-month-old rats. Treatment of aged rats with MF alone or combined with either EGb or Zn caused improvement in the measured free radical scavengers especially in brain and heart tissues. Our results also showed that both EGb and Zn induced a significant potential effect of MF action on blood pressure and heart rate. The results were explained in the light of the antioxidant properties of EGb and Zn. Thus it is concluded that EGb and Zn have a beneficial role with MF in diminishing cumulative oxidative changes in aging.",Ginkgo nut,Ginkgo biloba,17,SOD; GSH
9731116,"The dependence of intracellular glutathione (GSH), an important radical scavenger, on aging with or without externally applied Ginkgo biloba extract EGb 761, another established radical scavenger, was studied in guinea pig M¿ller (retinal glial) cells by using the fluorescent dye monochlorobimane. The GSH content of freshly dissociated cells from untreated aged animals was significantly lower than that of young controls; most of this reduction was prevented by application of EGb 761. Culturing the cells in amino-acid-free caused a loss of up to 50% of the initial GSH content. When the culture medium contained 100 microM glutamate and 100 microM cystine, ongoing GSH synthesis counteracted the loss of GSH. The rates of net GSH synthesis were equal for the two groups of aged animals but significantly higher for cells from young controls. It is concluded that externally applied radical scavengers may enhance the protective glutathione 'reserve' of M¿ller cells in cases of neuronal degeneration.",Ginkgo nut,Ginkgo biloba,17,GSH
9951643,"A study was carried out to investigate the effect of two antioxidants--Ginkgo biloba extract (EGb761) and superoxide dismutase (SOD)--in an experimental model of vitreoretinopathy obtained by direct production of oxygen free radicals in the vitreous cavity. Twenty-eight pigmented rabbits were used. Vitreoretinopathy was induced by intravitreal injection of 50 microliters of a mixture composed of 40 nmol of xanthine and 0.001 IU of xanthine oxidase. Rabbits were randomly distributed into four groups: Group 1 (n = 8) did not receive any treatment and served as a positive control. Groups 2 (n = 8) and 3 (n = 8) received for 1 month EGb761 given orally at a dose of 100 mg/kg/day, respectively 1 day after and 1 week before induction of retinopathy. Group 4 (n = 4) was treated by three intramuscular injections of 15,000 IU/kg of SOD, 24 h before induction and 24 and 48 h thereafter. Clinical evaluations and electroretinograms (ERG) were repeatedly performed until the animals were killed at day 28. Histological examinations and immunohistological procedures were performed to ascertain the origin and characteristics of the cellular proliferation and to compare vitreoretinal structures in the four groups. Intravitreal injection of xanthine-xanthine oxidase produced a strong inflammatory response with vitreous infiltrates and epiretinal membrane formation, inconstantly associated with retinal detachment. ERG showed a decrease of the a-, b- and c-waves beginning within a few hours after injection. Histologic evaluation found an intravitreal and epiretinal infiltration by leukocytes and epithelial-derived cells, dense vitreoretinal membranes and retinal detachments with occasional neovascularization. In the treated groups (groups 2-4), all clinical, electric and histologic data were significantly improved compared to the control group. However, no difference could be found among the three treated groups. This study demonstrates the strong pathologic effects of free radical production on the retina and the close relationships between free radicals, inflammatory pathways and vitreoretinal proliferative disorders. It also confirms the pharmacological interest of prevention by antioxidants and free radical scavengers.",Ginkgo nut,Ginkgo biloba,17,SOD
10318710,"Recent structure-function analysis of heterologously expressed K+-selective inward-rectifying channels (KIRCs) from plants has revealed that external protons can have opposite effects on different members of the same gene family. An important question is how the diverse response of KIRCs to apoplastic pH is reflected at the tissue level. Activation of KIRCs by acid external pH is well documented for guard cells, but no other tissue has yet been studied. In this paper we present, for the first time to our knowledge, in planta characterization of the effects of apoplastic pH on KIRCs in roots. Patch-clamp experiments on protoplasts derived from barley (Hordeum vulgare) roots showed that a decrease in external pH shifted the half-activation potential to more positive voltages and increased the limit conductance. The resulting enhancement of the KIRC current, together with the characteristic voltage dependence, strongly relates the KIRC of barley root cells to AKT1-type as opposed to AKT3-type channels. Measurements of cell wall pH in barley roots with fluorescent dye revealed a bulk apoplastic pH close to the pK values of KIRC activation and significant acidification of the apoplast after the addition of fusicoccin. These results indicate that channel-mediated K+ uptake may be linked to development, growth, and stress responses of root cells via the activity of H+-translocating systems.",Malted barley,Hordeum vulgare,35,AKT1
10417721,"Protection against desiccation-induced injury, including damage by reactive oxygen species (ROS), is a necessary component of the genetic programmes active during late seed development. Likewise, protection against ROS respiration by-products is required during seed imbibition and germination. Late embryogenesis abundant (LEA) proteins are proposed to protect seed tissues against desiccation-induced damage. Specifically, the atypical Lea gene Per1 in barley (Hordeum vulgare L.) has been proposed to play a protective role in embryo and aleurone cells against free-radical damage during late seed development and early imbibition. PER1 represents a subgroup of the peroxiredoxin family of thiol-requiring anti-oxidants with one conserved cysteine residue (1-Cys), and displays in vitro anti-oxidant activity. In this work, we use antiserum generated against PER1 to study protein accumulation patterns as well as localization at the tissue, cellular and subcellular level. While previous studies have shown the Per1 transcript to be dormancy-related, we show here that the protein level is maintained in imbibed dormant seeds, but not in non-dormant seeds. Our data identify the location of this seed-specific peroxiredoxin as the nucleus of immature embryos and aleurone layers. Highest levels of protein are detected in nucleoli. In contrast, in mature imbibed dormant seeds, cytosolic levels are comparable to that of the nucleus. A putative nuclear localization signal (NLS) of bipartite nature was identified in the C-terminal end of the PER1 sequence. Protective roles for PER1 in seeds are discussed.",Malted barley,Hordeum vulgare,35,ROS
10438161,"This study was done to evaluate the possible preventive effects of reactive oxygen species (ROS) scavenger agent desferrioxamine (DFX) and platelet-activating factor (PAF) antagonist agent ginkgo biloba (GB) in an experimental acute pancreatitis model. Seventy-eight CD-1 mice were divided into six groups consisting of 10-13 mice. Induction of pancreatitis was achieved by cerulein injection in groups 2-5. The first group was control, whereas DFX and GB were used alone or in combinations as preventive agents in groups 3-5. DFX or GB were injected to the mice in groups 6 and 7 to evaluate any toxic effect. The assessment of the pancreatic edema and inflammation, the measurement of the amylase and the pancreatic weight and the measurement of the pancreatic tissue oxidative capacity by chemiluminescence method were the parameters to evaluate pancreatitis. Although the results indicate DFX and GB alone or in combinations have significant preventive roles, this was not a complete prevention.",Ginkgo nut,Ginkgo biloba,17,ROS
10487222,"A cDNA, hvst1, was isolated from Hordeum vulgare by heterologous complementation in Escherichia coli. This cDNA encodes a high-affinity sulfate transporter that is 2442 bp in length and consists of 660 amino acids. Under steady-state conditions of sulfate supply during culture, sulfate influx (measured at 100 microM external sulfate concentration) and hvst1 transcript level were inversely correlated with sulfate concentrations in the culture solution. Glutathione (GSH) concentrations increased as external sulfate was increased from 2.5 to 250 microM. A time-course study, designed to investigate effects of sulfate withdrawal on the abundance of hvst1 transcript, showed a 5-fold increase of the latter within the first two hours. This was followed by a further slight increase during the next 46 h. These changes were accompanied by a parallel increase in sulfate influx and a decrease of root GSH concentrations. When plants that had been deprived of sulfate for 24 h were exposed to L-cysteine (Cys) or GSH for 3 h, GSH was the more effective down-regulator, reducing hvst1 transcript level to below that of unstarved controls. The decrease in transcript abundance induced by sulfate or Cys was partially relieved by the addition of buthionine sulfoximine (BSO), an inhibitor of GSH synthesis. Both hvst1 transcripts and sulfate influx increased as a function of N supply to N-starved plants. Amino oxyacetate acid (AOA), an aminotransferase inhibitor, when supplied with NO3-, increased transcript abundance of hvst1, while tungstate, methionine sulfoximine (MSO) and azaserine (AZA), inhibitors of nitrate reductase, glutamine synthetase and glutamate synthase (GOGAT), respectively, were without effect. AOA decreased root concentrations of aspartate (Asp), Cys and GSH; in contrast, glutamate (Glu) concentrations remained unchanged.",Malted barley,Hordeum vulgare,35,GSH
10490274,"A great number of epidemiological studies have demonstrated that the frequency of the epsilon4 allele of the apolipoprotein E gene (APOE) is markedly higher in sporadic and in familial late onset Alzheimer disease (AD). In the frontal cortex of AD patients, oxidative damage is elevated. We address the hypothesis that the APOE genotype and reactive oxygen-mediated damage are linked in the frontal cortex of AD patients. We have related the APOE genotype to the levels of lipid oxidation (LPO) and to the antioxidant status, in frontal cortex tissues from age-matched control and AD cases with different APOE genotypes. LPO levels were significantly elevated in tissues from Alzheimer's cases which are homozygous for the epsilon4 allele of APOE, compared to AD epsilon3/epsilon3 cases and controls. Activities of enzymatic antioxidants, such as catalase and glutathione peroxidase (GSH-PX), were also higher in AD cases with at least one epsilon4 allele of APOE, while superoxide dismutase (SOD) activity was unchanged. In the frontal cortex, the concentration of apoE protein was not different between controls and AD cases, and was genotype independent. The Ginkgo biloba extract (EGb 761), the neurosteroid dehydroepiandrosterone (DHEA) and human recombinant apoE3 (hapoE3rec) were able to protect control, AD epsilon3/epsilon3 and epsilon3/epsilon4 cases against hydrogen peroxide/iron-induced LPO, while hapoE4rec was completely ineffective. Moreover, EGb 761 and DHEA had no effect in homozygous epsilon4 cases. These results demonstrate that oxidative stress-induced injury and protection by antioxidants in the frontal cortex of AD cases are related to the APOE genotype.",Ginkgo nut,Ginkgo biloba,17,SOD; GSH
